income,age,experience,married,house_ownership,car_ownership,profession,current_job_years,current_house_years,risk_flag
6044767,60,12,single,rented,yes,Engineer,10,13,0
6694786,69,17,single,norent_noown,no,Surveyor,11,11,1
470555,50,10,single,owned,no,Secretary,3,14,0
8949796,66,0,single,rented,yes,Petroleum_Engineer,0,12,0
412015,23,8,single,rented,no,Technical_writer,4,10,0
9352887,53,6,single,rented,yes,Technical_writer,6,11,1
9226716,55,3,single,rented,no,Graphic_Designer,3,11,0
9364159,77,6,married,rented,no,Software_Developer,4,11,0
9934516,66,6,single,rented,yes,Hotel_Manager,6,14,0
884898,48,8,single,rented,yes,Artist,8,10,0
5681211,79,18,single,rented,no,Web_designer,8,10,0
1185014,23,5,single,rented,no,Magistrate,5,13,0
9603186,43,5,single,rented,no,Microbiologist,5,13,1
3489049,66,11,single,rented,no,Software_Developer,11,12,1
5653642,42,3,single,rented,no,Civil_engineer,3,11,1
9899664,45,5,single,rented,no,Software_Developer,5,10,0
6862187,22,7,single,rented,no,Scientist,7,12,1
979926,61,14,single,rented,yes,Police_officer,7,11,1
424671,64,15,single,rented,yes,Firefighter,4,11,0
347930,64,5,single,rented,no,Politician,5,12,0
8645202,65,9,single,owned,no,Technician,9,13,0
2028733,38,4,single,rented,yes,Architect,4,11,0
7977722,69,19,married,rented,no,Flight_attendant,14,12,0
6816106,31,20,single,rented,yes,Statistician,11,14,0
4853948,39,10,single,rented,no,Magistrate,10,10,0
227394,56,12,single,rented,no,Firefighter,5,14,0
5330432,47,2,single,rented,yes,Chemical_engineer,2,10,0
9830639,70,16,single,rented,no,Army_officer,5,11,0
4184636,55,2,single,rented,yes,Official,2,10,0
2667227,76,6,single,rented,no,Official,6,14,0
4736350,38,13,single,rented,no,Microbiologist,6,13,1
5886958,60,16,single,rented,no,Analyst,3,10,0
9845816,31,20,single,rented,no,Lawyer,14,11,0
7512179,55,13,single,rented,no,Physician,11,14,0
2603179,39,20,single,rented,yes,Politician,13,11,0
9317473,63,20,single,rented,yes,Civil_servant,14,14,0
5616245,76,20,single,rented,yes,Surveyor,13,13,0
4110754,36,4,single,rented,no,Petroleum_Engineer,4,13,0
6305461,41,11,single,rented,yes,Air_traffic_controller,7,14,1
7552268,38,6,single,rented,no,Civil_engineer,5,10,1
4334503,22,6,single,owned,no,Designer,6,14,0
1328487,67,12,married,rented,no,Flight_attendant,7,10,0
152426,27,18,single,rented,no,Librarian,8,12,0
7992060,44,15,single,rented,no,Fashion_Designer,4,11,0
7357515,50,13,single,rented,yes,Fashion_Designer,7,14,0
7115862,52,17,single,rented,no,Physician,14,11,0
1532701,79,2,single,rented,no,Graphic_Designer,2,12,0
4421612,79,20,single,rented,no,Firefighter,8,11,0
9521305,77,9,single,rented,no,Consultant,9,13,0
2433481,48,0,single,norent_noown,yes,Biomedical_Engineer,0,14,0
6668221,66,20,single,rented,no,Industrial_Engineer,11,11,1
5109740,39,6,single,rented,no,Flight_attendant,6,14,1
3902265,26,5,single,rented,no,Computer_hardware_engineer,3,14,0
8602683,46,1,married,rented,no,Web_designer,1,10,0
7636933,44,4,single,rented,yes,Consultant,4,14,0
665309,69,11,single,rented,no,Hotel_Manager,11,11,0
9812058,72,1,single,rented,yes,Economist,1,14,0
9999180,22,0,single,rented,no,Drafter,0,11,0
1126863,43,1,single,rented,no,Mechanical_engineer,1,11,0
8774556,63,2,single,rented,no,Flight_attendant,2,12,0
1882143,45,19,single,rented,yes,Magistrate,4,14,1
7167762,49,14,single,rented,no,Firefighter,12,14,1
7743419,71,15,single,rented,no,Scientist,14,14,1
3562528,58,9,single,rented,no,Microbiologist,9,11,0
5323322,77,13,single,rented,no,Civil_engineer,13,10,0
5596467,26,17,single,rented,no,Mechanical_engineer,4,13,0
9305585,69,8,single,rented,no,Official,8,10,1
4539480,46,3,single,rented,yes,Fashion_Designer,3,11,0
9480069,64,2,single,rented,no,Chartered_Accountant,2,10,0
9772105,29,12,single,rented,no,Aviator,8,14,0
9507533,32,4,married,rented,no,Lawyer,4,11,0
2218280,34,9,single,rented,no,Psychologist,9,11,0
2252443,77,0,single,rented,no,Surgeon,0,11,0
4525338,23,1,single,rented,no,Graphic_Designer,1,12,0
9984878,51,18,single,rented,yes,Comedian,8,12,0
2285062,38,2,single,rented,no,Dentist,2,12,0
6715263,29,0,single,rented,no,Surveyor,0,11,1
2959223,43,2,single,rented,no,Analyst,2,12,0
2370396,69,4,married,rented,no,Comedian,4,10,0
3426695,73,4,single,rented,no,Firefighter,4,14,0
1923950,50,12,single,rented,no,Geologist,3,14,0
2416807,70,10,single,rented,no,Firefighter,4,12,0
10310,70,20,single,rented,yes,Engineer,7,14,0
2436026,50,4,single,rented,yes,Lawyer,4,10,0
5046084,62,7,married,rented,yes,Technician,6,14,0
6415225,54,13,single,rented,no,Flight_attendant,3,13,0
1632386,43,20,single,rented,no,Army_officer,11,14,1
6220011,57,19,single,owned,no,Engineer,14,14,0
461499,68,2,married,rented,no,Official,2,11,0
7579274,26,8,single,rented,no,Army_officer,5,14,0
7291839,41,1,single,rented,yes,Surgeon,1,12,1
7583437,74,13,single,owned,yes,Web_designer,9,13,0
9933885,65,12,single,rented,no,Comedian,4,11,0
4187964,78,2,single,rented,yes,Dentist,2,10,1
5498131,61,15,single,rented,no,Industrial_Engineer,7,13,0
3308198,76,10,single,rented,yes,Economist,4,14,0
2452563,75,3,single,rented,no,Hotel_Manager,3,12,0
7877007,49,9,single,rented,no,Microbiologist,9,10,0
7525294,43,11,single,rented,yes,Magistrate,4,14,0
2062343,40,15,married,rented,yes,Aviator,14,11,0
6152756,49,3,married,rented,no,Psychologist,3,14,0
6325118,21,13,single,rented,no,Librarian,11,12,1
9043312,71,10,single,owned,no,Physician,3,14,0
9344382,38,14,single,rented,yes,Secretary,12,14,0
9173731,47,3,single,rented,no,Petroleum_Engineer,3,12,0
1996629,48,16,single,rented,no,Comedian,9,14,0
2451457,31,9,married,rented,no,Politician,9,12,0
4855342,24,0,single,rented,no,Lawyer,0,13,0
2955958,35,17,single,rented,yes,Computer_operator,7,11,1
6360265,31,18,single,rented,no,Scientist,3,11,0
2183371,23,20,single,owned,no,Police_officer,3,13,0
4718273,25,10,single,rented,no,Lawyer,8,10,0
8459716,79,1,single,rented,no,Graphic_Designer,1,14,0
2101952,46,18,single,rented,yes,Technical_writer,7,14,0
4531094,41,6,single,rented,no,Magistrate,6,13,0
7362151,65,4,single,rented,no,Magistrate,3,11,0
6272411,69,2,married,rented,no,Aviator,2,10,0
7110369,35,7,single,rented,yes,Computer_hardware_engineer,3,11,0
7352225,78,14,married,rented,no,Firefighter,6,14,0
2442178,34,15,married,rented,no,Air_traffic_controller,10,13,0
6975092,73,9,single,rented,no,Architect,9,13,0
6947233,62,10,single,rented,no,Technical_writer,10,12,0
1818927,69,8,single,rented,no,Technical_writer,8,13,0
6197730,71,3,single,rented,no,Dentist,3,13,0
568591,65,5,single,rented,no,Firefighter,5,11,0
7167873,61,0,single,rented,yes,Designer,0,11,1
2277429,42,18,single,rented,no,Analyst,4,14,0
5697835,55,14,single,owned,no,Designer,6,14,0
9127290,22,11,single,rented,no,Web_designer,3,14,1
8433425,63,13,married,rented,no,Graphic_Designer,6,10,0
5419964,40,4,single,owned,yes,Computer_operator,4,13,0
9510775,48,3,single,rented,no,Petroleum_Engineer,3,14,0
908803,22,18,single,rented,no,Librarian,3,14,0
8010013,45,11,single,rented,no,Technical_writer,7,14,0
5468664,30,2,single,rented,no,Chartered_Accountant,2,14,1
6936269,46,9,single,rented,no,Firefighter,8,14,0
6448514,30,6,single,rented,no,Magistrate,6,10,0
667848,58,10,single,rented,no,Comedian,8,12,0
6787542,22,0,single,norent_noown,no,Hotel_Manager,0,12,1
9348360,48,12,single,rented,yes,Financial_Analyst,12,10,0
4543268,32,17,single,rented,no,Flight_attendant,3,13,0
8143086,22,3,single,rented,no,Flight_attendant,3,11,1
5714288,44,0,single,rented,no,Chartered_Accountant,0,14,0
4110066,43,0,single,rented,no,Designer,0,12,0
6668606,45,2,single,rented,no,Designer,2,10,0
2696703,57,14,single,rented,no,Chef,14,12,0
8573668,57,15,single,rented,yes,Lawyer,13,13,1
7086647,24,4,married,rented,no,Engineer,4,14,0
3342757,21,18,single,rented,no,Surgeon,9,14,0
2663598,63,15,single,rented,no,Software_Developer,11,12,0
1680177,33,18,single,owned,no,Industrial_Engineer,6,11,1
854917,34,0,single,rented,no,Architect,0,13,0
2485396,26,6,single,rented,no,Statistician,6,14,0
3261742,36,11,single,rented,no,Consultant,4,10,0
6518572,76,17,single,owned,yes,Technology_specialist,14,12,0
4706227,76,6,single,rented,yes,Technical_writer,6,14,0
2429683,43,20,single,rented,no,Financial_Analyst,14,11,1
7020077,63,9,single,rented,no,Mechanical_engineer,9,13,1
9815414,26,5,single,rented,no,Chartered_Accountant,5,14,1
2055989,25,18,single,rented,no,Scientist,3,10,0
8593443,49,12,single,rented,no,Chef,9,14,0
67428,49,12,single,rented,no,Scientist,10,11,0
4356905,62,2,single,norent_noown,yes,Scientist,2,13,0
4496096,55,17,single,rented,yes,Librarian,13,13,1
3419204,79,18,single,owned,no,Geologist,3,12,0
4445947,53,17,single,rented,no,Technology_specialist,4,14,1
2542814,55,10,single,rented,no,Consultant,8,11,0
1670303,35,13,married,rented,no,Analyst,5,14,0
661573,42,20,single,rented,yes,Analyst,14,12,0
8867807,63,0,single,rented,yes,Scientist,0,11,0
2132506,79,11,single,owned,no,Financial_Analyst,11,13,0
8739174,28,5,single,rented,no,Secretary,5,12,0
2432816,37,4,single,rented,no,Graphic_Designer,4,12,0
9446738,55,2,single,rented,no,Design_Engineer,2,10,0
3148837,37,17,single,rented,yes,Psychologist,13,13,0
8378891,40,10,single,rented,no,Chemical_engineer,9,12,0
7660598,72,11,single,rented,no,Biomedical_Engineer,11,13,1
5331462,57,20,single,rented,yes,Artist,8,14,0
4958467,76,2,single,rented,yes,Secretary,2,11,0
1576088,37,13,single,rented,yes,Chef,7,12,1
7867670,60,19,single,rented,no,Biomedical_Engineer,12,13,0
5531708,43,9,single,rented,yes,Technician,3,13,0
8776228,37,15,single,rented,yes,Magistrate,14,11,1
7702379,76,6,single,rented,no,Biomedical_Engineer,6,10,0
3722050,73,12,single,rented,no,Mechanical_engineer,11,13,0
9910903,26,15,single,rented,yes,Consultant,3,11,0
6985683,77,13,single,rented,no,Physician,4,12,0
6952653,40,6,single,rented,no,Fashion_Designer,6,14,0
3991574,62,20,single,rented,no,Technical_writer,7,10,0
7995914,71,0,single,rented,no,Petroleum_Engineer,0,10,0
6785181,32,11,single,rented,no,Drafter,11,11,1
7455976,69,5,single,rented,yes,Fashion_Designer,5,13,0
6190329,21,13,single,rented,no,Geologist,13,11,0
1672431,45,8,single,rented,no,Drafter,8,14,0
7339398,55,11,single,rented,no,Dentist,10,11,0
4523349,28,2,single,rented,yes,Technical_writer,2,12,0
8262466,46,4,single,rented,no,Chemical_engineer,4,13,0
5273396,30,13,single,rented,no,Physician,4,11,0
780090,55,9,single,norent_noown,no,Surveyor,9,14,1
3128681,59,4,single,owned,no,Drafter,4,12,0
3589662,42,18,single,rented,yes,Technical_writer,13,13,0
6121261,23,15,single,rented,no,Civil_servant,5,14,0
5817501,61,2,single,norent_noown,no,Hotel_Manager,2,10,0
9282569,77,10,single,rented,yes,Drafter,10,14,0
4510338,53,17,single,rented,no,Biomedical_Engineer,5,10,1
3498735,38,3,single,rented,yes,Technician,3,14,0
8802134,69,5,single,rented,yes,Politician,5,10,0
4594450,79,14,single,rented,no,Microbiologist,14,11,0
2703840,48,17,single,norent_noown,no,Computer_operator,5,14,0
4804358,79,19,single,rented,no,Statistician,13,14,0
3983388,51,16,single,rented,no,Technical_writer,5,14,0
4406911,45,3,single,rented,yes,Psychologist,3,14,0
6402349,68,7,single,rented,no,Technology_specialist,7,10,0
7922894,22,9,single,rented,yes,Computer_operator,8,11,0
1853560,73,8,single,rented,no,Drafter,8,11,0
8693161,53,5,married,rented,yes,Industrial_Engineer,3,10,0
3171323,21,17,single,rented,no,Industrial_Engineer,5,12,0
2704782,79,6,single,rented,no,Artist,6,14,0
8190070,61,9,single,rented,yes,Mechanical_engineer,3,12,0
4131397,33,17,single,rented,yes,Lawyer,13,12,0
5881185,47,4,single,rented,no,Microbiologist,4,13,0
321358,78,17,single,rented,no,Dentist,9,13,1
1625328,49,19,single,rented,yes,Firefighter,9,12,0
2653315,76,8,married,rented,no,Secretary,8,12,0
8698268,46,19,single,rented,yes,Computer_operator,6,12,1
7497401,79,15,single,rented,yes,Comedian,4,10,0
9454655,35,7,single,rented,no,Magistrate,7,14,0
681770,28,5,single,rented,yes,Computer_operator,5,14,0
8927753,25,17,single,rented,yes,Comedian,13,13,1
6246061,59,6,single,rented,no,Artist,5,11,0
4074914,40,16,married,rented,yes,Police_officer,9,14,0
4273001,62,14,single,norent_noown,yes,Politician,14,14,1
1904060,72,8,single,rented,no,Computer_operator,8,14,0
4788890,62,5,married,rented,no,Police_officer,5,12,0
5808564,65,16,married,norent_noown,no,Fashion_Designer,14,10,0
1509327,51,0,married,rented,yes,Biomedical_Engineer,0,11,0
8944435,51,2,single,rented,no,Mechanical_engineer,2,11,0
527900,61,9,single,rented,yes,Economist,9,10,1
2530244,47,1,single,rented,no,Designer,1,13,0
7914034,23,2,single,rented,no,Chef,2,10,1
8160444,30,19,single,rented,no,Aviator,10,12,0
8500708,28,3,single,rented,no,Statistician,3,12,0
1850597,55,12,single,norent_noown,no,Consultant,12,10,0
9516861,67,0,single,rented,no,Engineer,0,13,0
9800971,62,14,single,rented,no,Aviator,3,13,0
9049657,25,12,single,rented,no,Geologist,12,12,0
8510110,49,15,single,rented,no,Statistician,13,14,0
8230848,34,3,single,rented,no,Official,3,14,0
5615027,23,14,single,rented,yes,Civil_engineer,14,14,0
3460548,36,13,single,rented,no,Web_designer,5,13,0
7847940,64,16,single,rented,yes,Computer_operator,10,11,1
2901323,56,2,married,rented,yes,Chartered_Accountant,2,10,0
6722440,47,7,single,rented,no,Graphic_Designer,7,11,1
2259654,42,2,single,rented,no,Mechanical_engineer,2,10,1
7667495,24,3,married,rented,no,Petroleum_Engineer,3,14,0
3890518,64,19,single,rented,no,Scientist,12,10,0
4436534,52,1,single,rented,no,Technical_writer,1,14,0
4888019,73,14,single,rented,no,Army_officer,11,10,0
6588340,29,3,single,rented,no,Architect,3,11,0
9241363,62,18,single,rented,yes,Computer_operator,5,11,1
7592145,68,20,single,rented,yes,Industrial_Engineer,4,10,0
8491491,61,20,single,rented,no,Comedian,8,11,0
368667,48,2,married,rented,no,Computer_operator,2,13,0
7779633,57,10,single,rented,no,Analyst,10,13,0
9078403,25,18,married,rented,no,Official,9,12,0
2562525,54,8,single,rented,yes,Software_Developer,8,11,0
8914067,77,18,single,rented,yes,Economist,10,11,0
842278,30,18,single,rented,yes,Physician,3,14,0
2336237,66,6,single,rented,no,Financial_Analyst,4,10,0
2808095,24,11,married,rented,no,Industrial_Engineer,6,14,0
9434706,30,9,single,rented,no,Secretary,9,13,0
8633347,27,4,single,rented,no,Microbiologist,4,14,0
8458367,79,1,single,rented,no,Aviator,1,10,0
8273187,69,0,single,rented,no,Artist,0,14,0
842194,27,16,single,rented,no,Engineer,10,11,0
630441,37,4,single,rented,no,Secretary,4,11,0
7891663,64,6,single,rented,no,Politician,6,10,0
7894460,25,5,single,owned,no,Secretary,5,10,0
4846957,75,2,single,rented,yes,Psychologist,2,10,0
3272246,72,7,single,rented,yes,Surveyor,7,14,0
649902,54,15,single,rented,no,Technician,8,11,1
9186273,50,20,single,rented,no,Microbiologist,10,14,0
8576968,35,18,single,rented,no,Drafter,5,12,0
5492355,28,2,single,rented,yes,Hotel_Manager,2,11,0
9215066,69,11,single,rented,no,Magistrate,11,10,1
4432283,61,5,single,rented,no,Lawyer,5,10,1
7467167,57,6,single,rented,no,Economist,6,11,0
4147754,21,18,single,rented,no,Police_officer,8,12,0
7124175,44,15,single,rented,yes,Chemical_engineer,7,10,1
1964155,51,13,single,rented,no,Physician,7,10,0
7591621,41,6,single,owned,no,Artist,3,14,1
3595993,49,6,single,rented,no,Civil_engineer,6,14,0
5867167,60,14,married,rented,no,Lawyer,6,12,0
9254833,63,13,single,rented,yes,Fashion_Designer,10,10,0
4371590,66,19,single,rented,yes,Flight_attendant,3,12,0
549476,47,1,single,rented,no,Fashion_Designer,1,10,1
5628436,48,13,single,rented,no,Computer_hardware_engineer,10,10,1
8893842,74,17,single,rented,yes,Dentist,9,14,0
223993,54,7,single,rented,no,Physician,7,11,1
7469378,62,0,single,rented,yes,Financial_Analyst,0,10,0
1462402,48,4,single,rented,no,Engineer,4,11,0
6453233,68,13,single,rented,no,Drafter,13,14,0
9304920,44,6,single,rented,no,Physician,6,11,0
5445375,52,19,single,rented,no,Psychologist,5,12,0
706809,71,3,single,rented,no,Librarian,3,13,1
5169846,54,13,single,rented,no,Magistrate,5,10,0
4614035,42,15,single,rented,no,Flight_attendant,13,14,0
126261,69,6,single,rented,no,Politician,4,11,0
4149976,35,15,married,owned,no,Drafter,10,12,0
133954,27,15,single,rented,no,Software_Developer,11,13,0
4824858,58,15,single,rented,no,Hotel_Manager,8,11,1
6118570,53,14,married,rented,no,Technology_specialist,14,13,0
5603227,62,9,single,rented,no,Politician,4,12,0
3638802,76,5,married,norent_noown,yes,Civil_servant,5,10,0
9468291,32,0,single,rented,no,Geologist,0,12,0
3985432,47,13,single,rented,no,Technician,4,12,0
4493999,57,0,single,rented,no,Technician,0,14,0
7884489,25,14,single,rented,no,Graphic_Designer,9,13,0
2717090,71,2,single,norent_noown,yes,Surgeon,2,10,0
2192899,45,12,single,rented,no,Drafter,6,10,0
1988524,50,6,single,rented,no,Surveyor,6,13,1
8644938,26,11,married,rented,no,Architect,9,10,0
4070923,23,6,single,rented,yes,Economist,6,11,0
1966474,26,16,single,rented,yes,Biomedical_Engineer,4,10,1
3215432,37,6,single,rented,yes,Consultant,6,12,0
28561,63,13,single,rented,yes,Scientist,13,12,0
8145890,48,5,single,rented,yes,Software_Developer,5,11,0
